TrendID,Date,TrendDescription,ImpactFactor
e81ea23b-302b-466c-8707-670943d75874,2024-03-13,Tell leader charge player both.,0.93
19c8414c-d295-4789-b861-e283ed123d66,2024-01-07,Raise oil bank future.,0.71
fbd884a7-ac5d-4795-b2e6-04c2e97b3565,2024-01-15,Chair character security fire nice again social day.,0.91
87a8be43-b512-4b9b-922a-6bdbdc87df63,2024-03-06,Far sure about lot quickly develop million.,0.83
8daa179e-2de2-4125-9403-eb300084cb9b,2024-01-07,Edge sound whose.,0.96
d4b63407-4117-4924-8176-bd11fa6ec3bc,2024-04-18,Establish others also marriage speak.,0.59
fd23be57-e9f9-4e33-aa3f-9eae1d71986e,2024-03-25,Miss minute until poor big cut course power.,0.85
e246f186-b0c3-4eb6-b1e8-3fc626fea07f,2024-05-16,Action spend tough both.,0.76
c0284770-7e06-475c-9184-c5429e02a03c,2024-04-24,Program strategy class person.,0.86
14aeb4b3-456e-440a-b314-ac52c3fea2ce,2024-04-25,So sport meet throughout morning.,0.54
331e6608-b588-49a5-90cf-9350e9adeab2,2024-02-21,Attorney stuff civil bank political.,0.64
31201c33-c49b-46ea-9f45-79c0ad0694a1,2024-03-27,Media safe rather must open eye marriage.,0.67
d4359cae-1093-4ecf-a7b9-2d59779cf163,2024-03-03,Way sister defense group.,0.53
51583970-80f5-457f-853b-6ba4f0f1de09,2024-02-23,Paper over he edge.,0.16
2554ee63-2532-4a47-b988-04359e3c03a5,2024-02-09,Second around agency carry action.,0.75
987958fb-3537-46e0-b038-649b0127973d,2024-04-29,Have prepare get arm art truth.,0.27
d887fce1-a772-4559-861a-518c75838ed5,2024-03-11,Firm herself blue sister or feel PM us.,0.18
12c8410e-0c14-4b9f-b795-186fa7a8ac01,2024-05-14,Manager necessary full future senior start.,0.2
f99b4bd2-082c-43fc-ac35-6a9d3392e856,2024-03-28,Region any accept million with sound gas.,0.53
3319c846-d018-4bac-9fb9-b93c47e14e84,2024-05-16,Author share move south.,0.88
385b2c85-5192-4f67-9c05-6fcc4bfe7583,2024-05-31,Discussion evening upon total catch.,0.47
f3a2f85b-01e0-4714-a2b1-f43c97418737,2024-05-11,Tv hair gun near talk always man member.,0.75
2d6b693b-dd32-448d-a50b-794c47969f85,2024-02-04,Anything laugh long issue true majority other.,0.69
a8856657-9d9b-4ff1-b71e-41b323059da1,2024-03-04,Chance cover which use one technology bad.,0.85
b87308d5-9e44-449f-8f5f-3e18d66f0c44,2024-02-19,Sure brother candidate ok agency fact money.,0.54
2fb259e2-8faa-4327-8959-6af1e655d73c,2024-03-10,Soldier management say this inside how structure.,0.24
dd800dd5-3694-4911-91d5-887caf6a3715,2024-03-17,Wide boy picture interview necessary think.,0.69
0bfc5145-8d50-4904-acf5-64e8d2fac80d,2024-04-25,President somebody bring every participant later mean.,0.24
ae257de4-a808-4bd5-8812-f7fb119a901f,2024-05-21,Next leader her marriage certainly military.,0.55
8d3c70d6-03f2-4eb6-843d-6ded32d22957,2024-02-16,Chance toward themselves decision my.,0.51
21834505-5136-4e3c-8302-2bb95b1d0b3b,2024-04-01,Decide boy produce.,0.84
edc1fa8f-5655-4090-a625-69071125a29e,2024-05-31,Brother example our sing.,0.57
b0b7b4a8-5b00-4b21-9c90-014fca871735,2024-01-13,Rise history miss public few.,0.5
b308e110-8e5d-4475-8a57-337085a7044b,2024-05-20,Arrive future himself tree show change.,0.64
329c0f05-9470-4a91-9436-cd281e43bb08,2024-03-31,Spend above claim close argue.,0.42
98cefcb4-f1c0-46ad-b35f-0f60d4064606,2024-01-10,We day such far bank issue.,0.66
110d1537-41c4-45c7-97a4-2e40565261bc,2024-01-18,Stay down pass different tonight.,0.22
280e1e64-0fe0-424b-b47f-0407252343be,2024-05-17,Book everyone cost per visit president example.,0.89
feeb617e-ba95-404e-84b9-732101f35975,2024-01-17,Sea per senior and commercial course.,0.23
cb5ee1aa-4223-4e36-9fbb-48f24aa7ed94,2024-04-01,Ago team share decade.,0.98
724a0f7a-7ea3-4eb1-a105-790e7de81d09,2024-02-15,Result father fall happen require.,0.38
c59b05c2-5f3d-4ab6-bef3-5df20e4d6c79,2024-01-20,Easy police great ago rock box.,0.14
9a891844-4219-413f-977b-5f2663cf3de0,2024-03-14,Trip which executive.,0.82
ce7e7c75-e8f1-45aa-a0a5-3f509b91ea23,2024-03-30,Term through live enter.,0.11
508ffce3-a452-4454-b9dc-8b1c36ad5d36,2024-05-01,Top have worker recently.,0.5
f75c2541-9267-4c68-8bc8-eaf8cd49dac6,2024-04-05,Suggest cell same serious wait while behind.,0.91
56b1175d-936b-4c5e-ab25-0269e656a466,2024-03-09,Body individual view day rich less.,0.81
f6f76bc2-0bd4-4fc5-8096-8f1cd0b9b64b,2024-02-26,Better indicate beyond forward big small.,0.67
7befade5-8ae5-44b5-a38a-c345f082f422,2024-02-22,Its apply character arrive big material rise safe.,0.98
7824f056-abe1-42ad-89ea-e89c261b7c6f,2024-04-23,Base far quality stage national leg.,0.7
b797b092-9a2d-41fa-a8d5-b4e27d4a0d11,2024-02-25,Seven practice clearly able.,0.14
fb6ad7dc-153c-40b1-82d1-d37127bdb809,2024-06-01,Book PM certainly.,0.21
d3e3d6bf-76ba-492c-bc7d-4946d4c3424a,2024-01-13,Same despite mouth must rule.,0.82
1e7b8771-3f40-4db6-9bb7-fdf0e0a19cfe,2024-05-23,Traditional many finish keep may relationship Congress.,0.25
3c6f05cd-53de-4773-a3d1-101640a5860e,2024-04-09,Show hundred yes today loss group.,0.84
251aded9-00ba-4ab9-8259-6f8b3d5f4a7a,2024-03-25,Heart power region Democrat why author.,0.59
0397c361-6709-40bc-99be-21f0c692edaf,2024-02-29,Activity ahead represent history network face.,0.43
a4e8141d-7cf0-44e3-969d-bad0a4e35ff2,2024-05-13,Beat artist walk see baby where special body.,0.24
f753ed41-4ca9-4b1a-8415-789f2cbbbef7,2024-03-23,Else my senior theory room.,0.26
e6238a9a-4cb7-4a57-a3d7-1cf561014d3f,2024-01-01,Reach may mind field figure.,0.97
cb2dba24-35be-460d-a3cb-47c7ac74a1b9,2024-02-03,Room decide treat eat.,0.17
ccd56205-f1a3-4552-b052-8e8f1975a8c6,2024-04-26,Thought politics song floor continue green center.,0.3
9147e25a-8c2b-4d36-be76-ee524d6a9eb8,2024-02-17,Simple need machine church resource.,0.37
f3b96117-fc5b-47a2-a2aa-4a1bc031abb7,2024-01-12,Risk consider machine.,0.16
4b1979b0-35d2-41e1-ba97-7fabaec8e143,2024-03-24,Discuss because with less yard list join.,0.16
1a81fecc-7481-4fa0-820c-91f3d51d8bde,2024-02-11,Involve Mr suffer exist.,0.51
f4a780ec-2b0d-40f7-92e1-c77cbf23fde7,2024-03-25,Character allow since collection fund explain no.,0.55
a769fbdd-8847-4248-ada2-50de303201d3,2024-04-01,Have action data tax around increase beat fact.,0.56
3cfa8f12-b395-4c60-819e-665b5ed5527d,2024-05-09,Serve owner material simply type subject.,0.79
c7988f07-b8f5-4ca2-b89f-47b5474c1104,2024-02-25,Her agree want grow nor hold bank.,0.8
a5ccfc45-1678-45a4-898d-f0473600edbc,2024-06-12,Set environmental would feel environmental use raise.,0.51
23fa8d51-0fe3-4d45-b08f-93a77cd1258e,2024-05-04,All large large example.,0.14
abe1ac49-273d-4ada-ad6c-3cfffa00ddb2,2024-01-29,Fast value we.,0.22
2ca1d40c-91f2-4a55-b199-a5c3ce7725df,2024-05-16,Of our cold tree increase important nothing.,0.76
b691b71c-068e-4684-9aea-80073c933108,2024-06-11,Baby you serve may especially.,0.2
e721090a-bc83-4b72-8932-19bf3ef22cad,2024-01-07,Place month statement want happy.,0.26
0ee12301-d977-4c9b-ab8e-902b565d08e2,2024-02-21,Guy both too think law fine even.,0.66
d440dd27-b783-4b02-a879-1f1f8f033bc7,2024-02-27,Listen bad hand to.,0.6
5b31d28d-5d7a-41ac-a113-3d69221ad8c8,2024-04-03,Alone fear middle.,0.84
43b5be93-5e81-4f47-a0d7-eecc4946e9c6,2024-03-28,Evidence chance everybody.,0.37
be035bf8-89e2-48e0-a612-5c9ecdbb4b8a,2024-05-19,Major many short other world true.,0.23
e1e05a00-7d43-4b03-bbd8-e67bc6d8b85f,2024-01-12,Treatment including ten line walk picture need.,0.63
295a6b7b-5687-4e5c-883d-0dcc7a3fc1d9,2024-02-06,Contain party piece challenge draw professor home.,0.77
55d0dd65-cf0c-432d-9ddf-24771a037bf4,2024-04-18,Call often rule society test play.,0.68
e6117f4a-6e27-44ab-85b8-c4bbc3097eac,2024-02-03,Rate again quickly oil.,0.96
0c1e7e54-7c5c-4c72-bf49-8f3993a14013,2024-04-14,Democratic cover thing take pressure.,0.25
7f458af9-3a40-4cd5-9f2d-adb78b8c7a60,2024-02-09,Town live skill paper.,0.57
dae74779-8b94-4682-b8c5-e22db64e2187,2024-06-09,Laugh modern hard writer century civil stop.,0.85
35c5b9d1-7d7d-4c5f-a884-3ac06ca968dd,2024-01-07,Any fast able but sense street.,0.72
31cba755-ac89-4269-b26d-417a48e918da,2024-01-09,Even authority green.,0.99
dbaad9a3-f597-4128-a753-c422f9c5e181,2024-03-04,Find authority key.,0.61
ecce2294-15de-42fa-8b69-bf8b80c4a823,2024-02-05,Strategy cold end.,0.9
27c5ca52-b79c-4d9f-a8d0-62123148709a,2024-03-11,Building child group.,1.0
640f78c1-b720-44ee-a6da-b3ae1c7aefad,2024-02-04,Me memory where development and.,0.93
d05fe469-28b0-41cb-aba2-b6f92996811f,2024-05-11,Southern you she voice.,0.94
01cfdec2-5d91-4c43-b12d-4a065b599b19,2024-01-12,Behind animal say team.,0.69
d58ab4e6-20e2-4a26-9cbd-1d424937665e,2024-01-31,Develop positive somebody of discover.,0.4
78e42bea-f042-400d-9c69-b263581e3ac5,2024-03-04,Sometimes can method product.,0.97
2a0fafee-de11-4e41-a11a-2806b2b3afb9,2024-01-20,Lawyer force remember find likely ask.,0.23
490adbc3-94bd-4ddb-a5db-d854d6d3e8c4,2024-01-27,Start prepare law behavior five.,0.62
